COUNTRY,CODE,CO2(PER CAPITA)
Afghanistan,AFG,0.3124
Albania,ALB,1.5757
Algeria,DZA,3.5346
Andorra,AND,6.035
Angola,AGO,0.6754
Anguilla,AIA,8.2273
Antigua and Barbuda,ATG,4.3952
Argentina,ARG,3.4733
Armenia,ARM,1.9878
Aruba,ABW,7.0548
Australia,AUS,15.3684
Austria,AUT,6.7324
Azerbaijan,AZE,3.7203
Bahamas,BHS,5.9446
Bahrain,BHR,20.5456
Bangladesh,BGD,0.5637
Barbados,BRB,3.7817
Belarus,BLR,6.0793
Belgium,BEL,7.2262
Belize,BLZ,1.4657
Benin,BEN,0.5529
Bermuda,BMU,10.0276
Bhutan,BTN,2.4953
Bolivia,BOL,1.7733
Bonaire Sint Eustatius and Saba,BES,11.4662
Bosnia and Herzegovina,BIH,6.5282
Botswana,BWA,2.7721
Brazil,BRA,2.1988
British Virgin Islands,VGB,4.6053
Brunei,BRN,23.2203
Bulgaria,BGR,5.3888
Burkina Faso,BFA,0.1899
Burundi,BDI,0.0506
Cambodia,KHM,0.9167
Cameroon,CMR,0.2595
Canada,CAN,14.1969
Cape Verde,CPV,0.9891
Central African Republic,CAF,0.0389
Chad,TCD,0.0555
Chile,CHL,4.2462
China,CHN,7.4117
Colombia,COL,1.7512
Comoros,COM,0.2972
Congo,COG,0.5648
Cook Islands,COK,4.5219
Costa Rica,CRI,1.5523
Cote d'Ivoire,CIV,0.3818
Croatia,HRV,4.1366
Cuba,CUB,1.7792
Curacao,CUW,20.3234
Cyprus,CYP,5.3805
Czechia,CZE,8.215
Democratic Republic of Congo,COD,0.0277
Denmark,DNK,4.5224
Djibouti,DJI,0.3557
Dominica,DMA,1.9343
Dominican Republic,DOM,2.5599
Ecuador,ECU,1.7532
Egypt,EGY,2.0859
El Salvador,SLV,0.9441
Equatorial Guinea,GNQ,7.3167
Eritrea,ERI,0.2037
Estonia,EST,7.8795
Eswatini,SWZ,0.8238
Ethiopia,ETH,0.1276
Faeroe Islands,FRO,13.9957
Fiji,FJI,1.5544
Finland,FIN,7.0907
France,FRA,4.2381
French Guiana,GUF,2.4386
French Polynesia,PYF,2.9486
Gabon,GAB,1.9311
Gambia,GMB,0.2069
Georgia,GEO,2.4988
Germany,DEU,7.6901
Ghana,GHA,0.515
Greece,GRC,5.0115
Greenland,GRL,9.061
Grenada,GRD,2.6203
Guadeloupe,GLP,6.4027
Guatemala,GTM,1.0571
Guinea,GIN,0.2584
Guinea-Bissau,GNB,0.1457
Guyana,GUY,2.8131
Haiti,HTI,0.256
Honduras,HND,0.9753
Hong Kong,HKG,4.1668
Hungary,HUN,4.9973
Iceland,ISL,8.6036
India,IND,1.7694
Indonesia,IDN,2.1552
Iran,IRN,8.8702
Iraq,IRQ,5.2416
Ireland,IRL,6.7538
Israel,ISR,6.5104
Italy,ITA,5.0249
Jamaica,JAM,2.509
Japan,JPN,8.1499
Jordan,JOR,2.498
Kazakhstan,KAZ,15.5158
Kenya,KEN,0.3003
Kiribati,KIR,0.5699
Kuwait,KWT,20.8251
Kyrgyzstan,KGZ,1.7639
Laos,LAO,4.6521
Latvia,LVA,3.5907
Lebanon,LBN,3.8048
Lesotho,LSO,1.0192
Liberia,LBR,0.1995
Libya,LBY,7.3815
Liechtenstein,LIE,3.6975
Lithuania,LTU,5.0691
Luxembourg,LUX,13.059
Macao,MAC,1.9447
Madagascar,MDG,0.1329
Malawi,MWI,0.0729
Malaysia,MYS,8.4226
Maldives,MDV,3.3235
Mali,MLI,0.1674
Malta,MLT,3.6121
Marshall Islands,MHL,2.5557
Martinique,MTQ,6.258
Mauritania,MRT,0.7263
Mauritius,MUS,3.129
Mayotte,MYT,1.1201
Mexico,MEX,2.7686
Micronesia (country),FSM,1.2824
Moldova,MDA,1.2759
Mongolia,MNG,26.978
Montenegro,MNE,3.6778
Montserrat,MSR,5.0646
Morocco,MAR,1.7484
Mozambique,MOZ,0.2102
Myanmar,MMR,0.6676
Namibia,NAM,1.5259
Nauru,NRU,5.2364
Nepal,NPL,0.582
Netherlands,NLD,8.0596
New Caledonia,NCL,30.4482
New Zealand,NZL,6.9418
Nicaragua,NIC,0.7659
Niger,NER,0.0698
Nigeria,NGA,0.6086
Niue,NIU,7.0124
North Korea,PRK,1.137
North Macedonia,MKD,3.4302
Norway,NOR,7.615
Oman,OMN,12.1729
Pakistan,PAK,1.0628
Palau,PLW,12.1246
Palestine,PSE,0.5682
Panama,PAN,2.4983
Papua New Guinea,PNG,0.7435
Paraguay,PRY,1.0613
Peru,PER,1.3559
Philippines,PHL,1.2413
Poland,POL,7.916
Portugal,PRT,3.9609
Qatar,QAT,37.0193
Reunion,REU,5.1244
Romania,ROU,3.7154
Russia,RUS,10.8072
Rwanda,RWA,0.0797
Saint Helena,SHN,1.5638
Saint Kitts and Nevis,KNA,3.9863
Saint Lucia,LCA,2.3956
Saint Pierre and Miquelon,SPM,8.7379
Saint Vincent and the Grenadines,VCT,1.8827
Samoa,WSM,1.239
Sao Tome and Principe,STP,0.5144
Saudi Arabia,SAU,17.9672
Senegal,SEN,0.6242
Serbia,SRB,4.9369
Seychelles,SYC,4.9936
Sierra Leone,SLE,0.11
Singapore,SGP,7.778
Sint Maarten (Dutch part),SXM,14.539
Slovakia,SVK,5.6286
Slovenia,SVN,6.043
Solomon Islands,SLB,0.435
Somalia,SOM,0.0354
South Africa,ZAF,7.6204
South Korea,KOR,11.6562
South Sudan,SSD,0.1053
Spain,ESP,4.4683
Sri Lanka,LKA,0.9857
Sudan,SDN,0.4301
Suriname,SUR,3.7914
Sweden,SWE,3.8255
Switzerland,CHE,3.7319
Syria,SYR,1.7446
Taiwan,TWN,11.4698
Tajikistan,TJK,0.9906
Tanzania,TZA,0.1831
Thailand,THA,3.6929
Timor,TLS,0.3987
Togo,TGO,0.2647
Tonga,TON,1.3597
Trinidad and Tobago,TTO,25.3731
Tunisia,TUN,2.3799
Turkey,TUR,4.6573
Turkmenistan,TKM,12.4914
Turks and Caicos Islands,TCA,5.2313
Tuvalu,TUV,0.6415
Uganda,UGA,0.107
Ukraine,UKR,4.8912
United Arab Emirates,ARE,15.1933
United Kingdom,GBR,4.8549
United States,USA,14.2379
Uruguay,URY,1.6812
Uzbekistan,UZB,3.3698
Vanuatu,VUT,0.591
Venezuela,VEN,2.9754
Vietnam,VNM,2.6126
Wallis and Futuna,WLF,2.3541
Yemen,YEM,0.3275
Zambia,ZMB,0.3575
Zimbabwe,ZWE,0.7086
